"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1632","#Kejriwal takes a swipe at #Modi, asks #Sisodia to be ready to face #CBI
https://t.co/z6NLL8mZ0a https://t.co/9vrEX7BAiA",FALSE,0,NA,2016-07-20 18:06:52,FALSE,NA,"755826323751395328",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","canadawale",0,FALSE,FALSE,NA,NA
"1633","@htTweets Eye on UP election otherwise his faith cudbe like giriraj adityanath fake sadvi prachi n modi himself for 50 crore gf remark",FALSE,0,"htTweets",2016-07-20 18:06:50,FALSE,"755825520080744448","755826312443416576","36327407","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhonduB",0,FALSE,FALSE,NA,NA
"1634","RT @draksbond: Modi Ji is the first Prime Minister in the world who has been criticised for working hard. RT if u agree http://t.co/HFnjLdD…",FALSE,0,NA,2016-07-20 18:06:46,FALSE,NA,"755826296559636480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KapilGohil07",7548,TRUE,FALSE,NA,NA
"1635","RT @AnkitLal: My article in @DailyO_ exposing Modi ji's Thailand connection.

Why Thailand tweets regularly on BJP hashtags!

https://t.co/…",FALSE,0,NA,2016-07-20 18:06:45,FALSE,NA,"755826293661327360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhirup1",729,TRUE,FALSE,NA,NA
"1636","RT @geetv79: The Guru 
Who was Vital Influence on Modi 
Arrested &amp; Conditionally Released after Gandhi Murder 
#RSSKilledGandhi https://t.c…",FALSE,0,NA,2016-07-20 18:06:44,FALSE,NA,"755826289127333888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aanitagurjar3",111,TRUE,FALSE,NA,NA
"1637","RT @IndiaSpeaksPR: Ahmad Patel has correctly understood the driving force behind Modi's 2014win &amp; is executing a nefarious counter.No respo…",FALSE,0,NA,2016-07-20 18:06:41,FALSE,NA,"755826277425246208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chetanpatelRE",49,TRUE,FALSE,NA,NA
"1638","RT @AleemUnar: U r sending Sarees to Modi's mother, &amp; they r sending Dead Bodies to Kashmiris
#NawazModiRomanceKillingKashmir https://t.co/…",FALSE,0,NA,2016-07-20 18:06:37,FALSE,NA,"755826261105127424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sakina7214",13,TRUE,FALSE,NA,NA
"1639","RT @ArvindKejriwal: Manish, be prepared. Modi ji will either send CBI against u or declare that u did not have power to construct it https:…",FALSE,0,NA,2016-07-20 18:06:34,FALSE,NA,"755826248421613568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AarifaMushir",1265,TRUE,FALSE,NA,NA
"1640","RT @AshokChoudhaary: From Rohith Vemula to Haryana to Gujarat, BJP knows best how to show Dalits their place in the society.

Thank you PM…",FALSE,0,NA,2016-07-20 18:06:33,FALSE,NA,"755826243614965760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aanitagurjar3",106,TRUE,FALSE,NA,NA
"1641","PM Narendra Modi at mid-term is good enough for re-election in 2019: Swaminathan Aiyar - The Economic Times https://t.co/kryVzKqywW",FALSE,0,NA,2016-07-20 18:06:33,FALSE,NA,"755826241396178944",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","pradeeprtiwari",0,FALSE,FALSE,NA,NA
